title,author,alternate_titles
1984,George Orwell,Nineteen Eighty-Four
Nineteen Eighty-Four (Centennial Edition),"Orwell, George",1984
The Golden Compass,Philip Pullman,Northern Lights; His Dark Materials Book 1
Northern Lights,Philip Pullman,The Golden Compass; His Dark Materials Book 1
The Stranger,Albert Camus,The Outsider
The Stranger,Harlan Coben,
The Lord of the Rings,J.R.R. Tolkien,LOTR; The Lord of the Rings Omnibus
The Fellowship of the Ring,J.R.R. Tolkien,The Lord of the Rings Book 1
The Two Towers,J.R.R. Tolkien,The Lord of the Rings Book 2
The Return of the King,J.R.R. Tolkien,The Lord of the Rings Book 3
It,Stephen King,
It Ends with Us,Colleen Hoover,It Ends with Us: A Novel
One Hundred Years of Solitude,Gabriel García Márquez,
Love in the Time of Cholera,Gabriel Garcia Marquez,
Crime and Punishment,Fyodor Dostoevsky,
The Brothers Karamazov,Fyodor Dostoyevsky,
War and Peace,"Tolstoy, Leo",
Anna Karenina,Leo Tolstoy,
Mere Christianity,"Lewis, C.S.",
"The Lion, the Witch and the Wardrobe",C.S. Lewis,Chronicles of Narnia Book 1
Leviathan Wakes,James S.A. Corey,The Expanse Book 1
The Luminaries,Eleanor Catton,
The 57 Bus,Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives
Strong's Exhaustive Concordance,James Strong,Strong's Exhaustive Concordance of the Bible
The New Oxford Annotated Bible,Michael D. Coogan (ed.),NOAB; NRSV Annotated Bible
Vine's Complete Expository Dictionary of Old and New Testament Words,W.E. Vine,Vine's Expository Dictionary
Apologetics Study Bible,Holman Bible Publishers,HCSB Apologetics Study Bible
The Interlinear Bible: Hebrew-Greek-English,Jay P. Green,Interlinear Bible
The Great Gatsby,F. Scott Fitzgerald,
To Kill a Mockingbird,Harper Lee,
Pride and Prejudice,Jane Austen,
Jane Eyre,Charlotte Brontë,
Wuthering Heights,Emily Brontë,
Brave New World,Aldous Huxley,
Fahrenheit 451,Ray Bradbury,
The Catcher in the Rye,J.D. Salinger,
Of Mice and Men,John Steinbeck,
The Grapes of Wrath,John Steinbeck,
Slaughterhouse-Five,Kurt Vonnegut,
Catch-22,Joseph Heller,
Beloved,Toni Morrison,
The Color Purple,Alice Walker,
Their Eyes Were Watching God,Zora Neale Hurston,
Invisible Man,Ralph Ellison,
Frankenstein,Mary Shelley,
Dracula,Bram Stoker,
The Picture of Dorian Gray,Oscar Wilde,
Little Women,Louisa May Alcott,
Anne of Green Gables,L.M. Montgomery,
The Odyssey,Homer,
Don Quixote,Miguel de Cervantes,
Gone Girl,Gillian Flynn,
The Girl on the Train,Paula Hawkins,
The Da Vinci Code,Dan Brown,
Angels & Demons,Dan Brown,
Where the Crawdads Sing,Delia Owens,
The Kite Runner,Khaled Hosseini,
A Thousand Splendid Suns,Khaled Hosseini,
Life of Pi,Yann Martel,
The Book Thief,Markus Zusak,
The Road,Cormac McCarthy,
The Alchemist,Paulo Coelho,
Circe,Madeline Miller,
The Song of Achilles,Madeline Miller,
Project Hail Mary,Andy Weir,
The Martian,Andy Weir,
Dune,Frank Herbert,
A Game of Thrones,George R.R. Martin,A Song of Ice and Fire Book 1
The Hobbit,J.R.R. Tolkien,"The Hobbit, or There and Back Again"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Philosopher's Stone
Harry Potter and the Chamber of Secrets,J.K. Rowling,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,
Harry Potter and the Goblet of Fire,J.K. Rowling,
Harry Potter and the Order of the Phoenix,J.K. Rowling,
Harry Potter and the Half-Blood Prince,J.K. Rowling,
Harry Potter and the Deathly Hallows,J.K. Rowling,
Percy Jackson and the Lightning Thief,Rick Riordan,
Twilight,Stephenie Meyer,
New Moon,Stephenie Meyer,
The Fault in Our Stars,John Green,
Divergent,Veronica Roth,
The Hunger Games,Suzanne Collins,
Catching Fire,Suzanne Collins,
Mockingjay,Suzanne Collins,
Beach Read,Emily Henry,
People We Meet on Vacation,Emily Henry,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,
Educated,Tara Westover,Educated: A Memoir
Atomic Habits,James Clear,
The Subtle Art of Not Giving a F*ck,Mark Manson,
Man's Search for Meaning,Viktor E. Frankl,
"Thinking, Fast and Slow",Daniel Kahneman,
Outliers,Malcolm Gladwell,Outliers: The Story of Success
The 7 Habits of Highly Effective People,Stephen R. Covey,
Rich Dad Poor Dad,Robert T. Kiyosaki,
Charlotte's Web,E.B. White,
Where the Wild Things Are,Maurice Sendak,
Goodnight Moon,Margaret Wise Brown,
The Very Hungry Caterpillar,Eric Carle,
The Giving Tree,Shel Silverstein,
Diary of a Wimpy Kid,Jeff Kinney,
Wonder,R.J. Palacio,
Face,Dean Koontz,The Face
Dragon Tears,Dean Koontz,
Rogue Lawyer,John Grisham,
The Doomsday Conspiracy,Sidney Sheldon,
Cross Fire,James Patterson,Alex Cross Book 17
I Alex Cross,James Patterson,I Alex Cross Book 16
The Red Pyramid,Rick Riordan,The Kane Chronicles Book 1
The Distant Hours,Kate Morton,
The Last Templar,Raymond Khoury,
JPod,Douglas Coupland,
Something Dangerous,Penny Vincenzi,
American Dirt,Jeanine Cummins,
Eldest,Christopher Paolini,Inheritance Cycle Book 2
Night World,L.J. Smith,Night World No. 3; Huntress; Black Dawn; Witchlight
Huntress,L.J. Smith,Night World No. 3
Black Dawn,L.J. Smith,Night World No. 3
Witchlight,L.J. Smith,Night World No. 3
